Model,Threshold,delta,power (W),Hours in Use
Model 1,13,2.2,0.4,3.067444444
Model 1,13,2.2,0.5,2.456472222
Model 1,14,2.2,0.2,5.36
Model 1,14,2.2,0.3,3.580194444
Model 1,14,2.2,0.4,2.687666667
Model 1,14,2.2,0.5,2.15425
Model 1,15,2.2,0.2,4.638083333
Model 1,15,2.2,0.3,3.098861111
Model 1,15,2.2,0.4,2.326583333
Model 1,15,2.2,0.5,1.865
Model 1,10,2.4,0.2,8.693694444
Model 1,10,2.4,0.3,5.803194444
Model 1,10,2.4,0.4,4.357638889
Model 1,10,2.4,0.5,3.490472222
Model 1,11,2.4,0.2,7.846277778
Model 1,11,2.4,0.3,5.238194444
Model 1,11,2.4,0.4,3.933583333
Model 1,11,2.4,0.5,3.150083333
Model 1,12,2.4,0.2,7.032916667
Model 1,12,2.4,0.3,4.693416667
Model 1,12,2.4,0.4,3.525388889
Model 1,12,2.4,0.5,2.823916667
Model 1,13,2.4,0.2,6.198222222
Model 1,13,2.4,0.3,4.136166667
Model 1,13,2.4,0.4,3.104777778
Model 1,13,2.4,0.5,2.490416667
Model 1,14,2.4,0.2,5.435138889
Model 1,14,2.4,0.3,3.628111111
Model 1,14,2.4,0.4,2.724805556
Model 1,14,2.4,0.5,2.184527778
Model 1,15,2.4,0.2,4.708083333
Model 1,15,2.4,0.3,3.143805556
Model 1,15,2.4,0.4,2.359222222
Model 1,15,2.4,0.5,1.889
Model 1,10,2.6,0.2,8.795444444
Model 1,10,2.6,0.3,5.871888889
Model 1,10,2.6,0.4,4.408388889
Model 1,10,2.6,0.5,3.529638889
Model 1,11,2.6,0.2,7.938111111
Model 1,11,2.6,0.3,5.299361111
Model 1,11,2.6,0.4,3.978361111
Model 1,11,2.6,0.5,3.186444444
Model 1,12,2.6,0.2,7.118444444
Model 1,12,2.6,0.3,4.751916667
Model 1,12,2.6,0.4,3.568444444
Model 1,12,2.6,0.5,2.857555556
Model 1,13,2.6,0.2,6.274777778
Model 1,13,2.6,0.3,4.188027778
Model 1,13,2.6,0.4,3.143944444
Model 1,13,2.6,0.5,2.519805556
Model 1,14,2.6,0.2,5.504027778
Model 1,14,2.6,0.3,3.673166667
Model 1,14,2.6,0.4,2.759138889
Model 1,14,2.6,0.5,2.209944444
Model 1,15,2.6,0.2,4.765472222
Model 1,15,2.6,0.3,3.182527778
Model 1,15,2.6,0.4,2.38825
Model 1,15,2.6,0.5,1.913027778
Model 1,10,2.8,0.2,8.892333333
Model 1,10,2.8,0.3,5.933527778
Model 1,10,2.8,0.4,4.455083333
Model 1,10,2.8,0.5,3.567027778
Model 1,11,2.8,0.2,8.032944444
Model 1,11,2.8,0.3,5.361861111
Model 1,11,2.8,0.4,4.025611111
Model 1,11,2.8,0.5,3.224916667
Model 1,12,2.8,0.2,7.200944444
Model 1,12,2.8,0.3,4.80475
Model 1,12,2.8,0.4,3.60825
Model 1,12,2.8,0.5,2.889333333
Model 1,13,2.8,0.2,6.353916667
Model 1,13,2.8,0.3,4.242111111
Model 1,13,2.8,0.4,3.184861111
Model 1,13,2.8,0.5,2.551944444
Model 1,14,2.8,0.2,5.575722222
Model 1,14,2.8,0.3,3.720583333
Model 1,14,2.8,0.4,2.794166667
Model 1,14,2.8,0.5,2.236888889
Model 1,15,2.8,0.2,4.828444444
Model 1,15,2.8,0.3,3.223805556
Model 1,15,2.8,0.4,2.419583333
Model 1,15,2.8,0.5,1.939555556
Model 2,10,0,0.2,23.29186111
Model 2,10,0,0.3,15.56433333
Model 2,10,0,0.4,11.70152778
Model 2,10,0,0.5,9.38225
Model 2,11,0,0.2,20.68705556
Model 2,11,0,0.3,13.82719444
Model 2,11,0,0.4,10.39827778
Model 2,11,0,0.5,8.3395
Model 2,12,0,0.2,18.13316667
Model 2,12,0,0.3,12.12419444
Model 2,12,0,0.4,9.120444444
Model 2,12,0,0.5,7.317333333
Model 2,13,0,0.2,15.66594444
Model 2,13,0,0.3,10.47761111
Model 2,13,0,0.4,7.884333333
Model 2,13,0,0.5,6.326166667
Model 2,14,0,0.2,13.32252778
Model 2,14,0,0.3,8.913416667
Model 2,14,0,0.4,6.710138889
Model 2,14,0,0.5,5.386138889
Model 2,15,0,0.2,11.10902778
Model 2,15,0,0.3,7.436027778
Model 2,15,0,0.4,5.599583333
Model 2,15,0,0.5,4.498527778
Model 2,10,0.2,0.2,23.81488889
Model 2,10,0.2,0.3,15.91208333
Model 2,10,0.2,0.4,11.96261111
Model 2,10,0.2,0.5,9.590861111
Model 2,11,0.2,0.2,21.20305556
Model 2,11,0.2,0.3,14.17094444
Model 2,11,0.2,0.4,10.65577778
Model 2,11,0.2,0.5,8.546805556
Model 2,12,0.2,0.2,18.63447222
